pp,video,dial,t_begin_s,t_mid_s,t_end_s,duration_s
2,7,5,32.7575,32.8966,33.0356,0.278
2,7,1,33.0904,33.236,33.3816,0.2912
2,7,1,33.4375,33.5789,33.7204,0.2828
2,7,5,33.7763,33.9178,34.0592,0.2829
2,7,2,34.1136,34.2563,34.399,0.2854
2,7,3,34.451,34.605,34.759,0.3081
2,7,3,34.8162,34.9611,35.106,0.2898
2,7,4,35.1642,35.3071,35.45,0.2858
2,7,4,35.5045,35.6496,35.7948,0.2902
2,7,1,35.8561,36.0062,36.1563,0.3002
2,7,6,36.2114,36.3544,36.4974,0.286
2,7,6,36.5528,36.6907,36.8286,0.2759
2,7,2,36.8899,37.0272,37.1645,0.2746
2,7,2,37.2217,37.3651,37.5085,0.2868
2,7,2,37.5638,37.7072,37.8505,0.2867
2,7,2,37.9067,38.0493,38.1919,0.2852
2,7,6,38.2475,38.3917,38.5358,0.2883
2,7,6,38.5805,38.7285,38.8765,0.296
2,7,6,38.9421,39.0838,39.2254,0.2833
2,7,5,39.2889,39.4402,39.5916,0.3027
2,7,3,39.6533,39.7993,39.9453,0.292
2,7,2,39.9989,40.1419,40.2849,0.286
2,7,2,40.3384,40.4936,40.6489,0.3105
2,7,3,40.704,40.8574,41.0108,0.3069
2,7,2,41.0686,41.2105,41.3525,0.284
2,7,2,41.4048,41.5538,41.7028,0.298
2,7,6,41.7591,41.9049,42.0508,0.2917
2,7,3,42.1091,42.2506,42.3922,0.2831
2,7,3,42.4445,42.6047,42.7648,0.3203
2,7,6,42.8204,42.9729,43.1253,0.3048
2,7,6,43.1759,43.3218,43.4677,0.2919
2,7,5,43.5306,43.6723,43.814,0.2834
2,7,2,43.8704,44.018,44.1656,0.2952
2,7,1,44.2151,44.3745,44.5339,0.3188
2,7,1,44.5771,44.7498,44.9224,0.3453
2,7,4,44.9786,45.1237,45.2687,0.29
2,7,4,45.3262,45.4652,45.6041,0.2779
2,7,1,45.6657,45.8147,45.9637,0.298
2,7,1,46.0148,46.1656,46.3165,0.3018
2,7,6,46.3769,46.5175,46.6582,0.2812
2,7,4,46.7159,46.8504,46.985,0.2691
2,7,6,47.0417,47.1821,47.3225,0.2808
2,7,2,47.3803,47.5268,47.6733,0.293
2,7,6,47.7236,47.8864,48.0491,0.3255
2,7,3,48.1112,48.2483,48.3854,0.2741
2,7,2,48.4375,48.5876,48.7378,0.3003
2,7,4,48.7913,48.9426,49.0938,0.3025
2,7,4,49.1501,49.3035,49.457,0.3068
2,7,4,49.5122,49.671,49.8298,0.3176
2,7,3,49.8852,50.0417,50.1982,0.3129
2,7,1,50.2562,50.3944,50.5325,0.2763
2,7,4,50.5837,50.7349,50.886,0.3022
2,7,4,50.9437,51.086,51.2283,0.2846
2,7,6,51.288,51.4424,51.5967,0.3087
2,7,5,51.6561,51.794,51.9318,0.2757
2,7,4,51.9876,52.1306,52.2736,0.286
2,7,1,52.3326,52.4721,52.6115,0.2789
2,7,4,52.6648,52.8057,52.9466,0.2818
2,7,2,53.0043,53.1396,53.2749,0.2705
2,7,1,53.3257,53.4745,53.6233,0.2976
2,7,1,53.6728,53.8466,54.0204,0.3476
2,7,3,54.0807,54.229,54.3772,0.2965
2,7,6,54.4322,54.5625,54.6928,0.2606
2,7,3,54.7498,54.8885,55.0272,0.2773
2,7,3,55.0733,55.2318,55.3902,0.3169
2,7,6,55.4485,55.587,55.7255,0.277
2,7,5,55.7848,55.9232,56.0616,0.2768
2,7,6,56.1224,56.2694,56.4164,0.294
2,7,6,56.4767,56.6143,56.7518,0.2751
2,7,5,56.8183,56.9563,57.0943,0.276
2,7,4,57.148,57.2913,57.4347,0.2866
2,7,5,57.4858,57.6522,57.8186,0.3329
2,7,4,57.8713,58.0215,58.1716,0.3003
2,7,2,58.2296,58.3831,58.5365,0.3069
2,7,4,58.5958,58.7385,58.8812,0.2854
2,7,2,58.939,59.0756,59.2123,0.2733
2,7,3,59.2648,59.4123,59.5598,0.295
2,7,3,59.6112,59.7511,59.891,0.2798
2,7,5,59.9491,60.0926,60.2361,0.287
2,7,6,60.2902,60.4349,60.5796,0.2895
2,7,5,60.639,60.7785,60.918,0.279
2,7,5,60.9758,61.1136,61.2514,0.2756
2,7,6,61.3096,61.4509,61.5922,0.2826
2,7,5,61.6534,61.793,61.9326,0.2792
2,7,1,61.991,62.1416,62.2922,0.3012
2,7,1,62.3434,62.5155,62.6875,0.3442
2,7,4,62.7451,62.8914,63.0376,0.2924
2,7,4,63.0934,63.2494,63.4053,0.3119
2,7,3,63.4622,63.6158,63.7694,0.3072
